registration_number,n_cycles,n_unique_soh,rul_reliability,first_date,last_date,current_soh,soh_slope_%per_day,soh_r2,rul_days,rul_lo_days,rul_hi_days,eol_threshold,efc_total,avg_efc_per_day,soh_per_efc_slope,rul_efc,rul_days_efc,rul_efc_ci_lo,rul_efc_ci_hi,dual_soh0,dual_alpha,dual_beta,dual_rul_days,dual_rul_efc_days,dual_rul_cal_days,dual_dominant_path,bayes_soh_pred,bayes_soh_std,bayes_rul_days,epk_slope_per_day,epk_r2,heat_slope_per_day,heat_r2,spread_slope_per_day,spread_r2,vsag_slope_per_day,vsag_r2,total_n_vsag,ir_slope_per_day,ir_r2,total_high_ir,cycle_soh_current,cycle_soh_slope_per_day,cycle_soh_r2,soh_slope_norm,ekf_soh_norm,soh_health_norm,energy_slope_norm,heat_slope_norm,spread_slope_norm,vsag_slope_norm,ir_slope_norm,cycle_soh_slope_norm,composite_degradation_score,pct_rapid_heating,pct_high_energy_per_km,pct_slow_charging,pct_fast_charging,n_if_anomalies,n_cusum_soh,n_cusum_epk,n_cusum_heat,n_cusum_spread,n_cusum_cycle_soh,n_combined_anom,if_score_mean,neural_rec_err_mean,neural_rec_err_p95,n_neural_anomalies,neural_anomaly_pct
MH18BZ3028,63,27,low_r2,2026-01-24,2026-03-09,94.97,-0.01658,0.071,903.0,314.0,3053.0,80.0,16.84,0.3857,-0.081781,183.0,475.0,102.0,710.0,92.797,-2737.08713,33193.86814,5.0,,5.0,calendar,95.366,0.661,,0.02228,0.077,0.03808,0.019,7.3e-05,0.049,-0.00043,0.0,6,-0.09253,0.015,441,82.692,0.21937,0.051,0.12506715375523814,1.0,1.0,0.4104530230918385,0.7800977012919383,0.8281249999999999,0.3384711000621504,0.7573854632323375,0.12947476897606125,0.6576,0.096,0.217,0.393,0.321,7,3,0,0,0,1,12,-0.0277,0.2302,0.6195,5,50.7496
MH18BZ3392,63,25,reliable,2026-01-24,2026-02-25,97.4,-0.0622,0.565,280.0,104.0,364.0,80.0,14.97,0.3401,-0.152307,114.0,336.0,104.0,134.0,69.982,1384.09971,-74301.3638,127.0,127.0,,cycle,97.386,0.227,78.0,-0.02146,0.037,0.12676,0.076,8.6e-05,0.062,0.00129,0.002,2,-0.08267,0.008,419,60.544,-0.81121,0.241,0.370151498871817,0.3213389121338921,0.3213389121338921,0.02494271108760796,1.0,0.9296874999999999,0.35985083903045373,0.7690460985359161,1.0,0.5652,0.121,0.374,0.28,0.28,8,1,1,0,0,2,12,-0.036,0.1684,0.3309,4,54.1587
MH18BZ3341,504,102,reliable,2026-01-24,2026-03-10,97.35,-0.0288,0.675,602.0,540.0,697.0,80.0,110.22,2.4401,-0.011887,1460.0,598.0,1285.0,1676.0,99.62,-143.458,1576.81811,103.0,,103.0,calendar,97.524,0.166,,0.00213,0.002,0.03879,0.035,9.5e-05,0.098,-0.00097,0.001,76,-0.04477,0.005,4244,100.0,-0.00617,0.0,0.1907166648758999,0.3366806136680601,0.3366806136680601,0.23285739467653796,0.781858308329407,1.0,0.33175885643256686,0.8138674046216797,0.319987160643995,0.5143,0.117,0.17,0.318,0.112,69,0,2,2,4,10,87,-0.0369,0.6178,1.637,44,53.5301
MH18BZ2648,529,132,reliable,2025-12-05,2026-02-26,96.75,-0.01096,0.635,1529.0,1319.0,1804.0,80.0,176.31,2.1323,-0.004762,3518.0,1650.0,3102.0,4070.0,100.171,378.4359,-1088.35143,74.0,74.0,,cycle,96.717,0.195,503.0,-0.00022,0.0,0.00332,0.001,-4e-06,0.001,0.00073,0.001,111,0.04477,0.009,5678,100.0,-0.02842,0.028,0.0948748254002364,0.5026499302649918,0.5026499302649918,0.21214524942711085,0.6939023483026259,0.2265625,0.35288999378495967,0.9197592185245629,0.33878161269068974,0.4793,0.114,0.153,0.302,0.543,86,17,4,2,2,12,124,-0.0332,0.2109,0.4833,26,49.9993
MH18BZ2689,581,144,reliable,2025-12-05,2026-02-27,96.81,-0.01524,0.741,1103.0,983.0,1297.0,80.0,180.6,2.1523,-0.006321,2659.0,1236.0,2353.0,3050.0,99.505,441.62238,-1930.77404,63.0,63.0,,cycle,96.73,0.139,368.0,0.00214,0.007,0.00957,0.009,-9e-06,0.013,0.00039,0.0,87,0.00458,0.0,4712,100.0,-0.09535,0.181,0.11786827119372523,0.486750348675033,0.486750348675033,0.2329455314648334,0.7094006496887941,0.18749999999999997,0.3486637663144811,0.87222971215024,0.3953170138360955,0.4733,0.144,0.2,0.129,0.371,36,2,2,1,1,10,61,-0.0486,0.2079,0.4507,29,51.2251
MH18BZ3198,408,93,reliable,2026-01-22,2026-02-28,97.18,-0.04409,0.862,390.0,366.0,417.0,80.0,104.72,2.8427,-0.014855,1156.0,407.0,1063.0,1252.0,99.886,892.69368,-8059.57774,24.0,24.0,,cycle,96.912,0.186,,0.00144,0.0,0.01643,0.006,-6e-06,0.001,0.0034,0.006,64,0.00822,0.0,3343,100.0,-0.25788,0.055,0.2728591382830128,0.3849372384937233,0.3849372384937233,0.22677595628415298,0.7264115852902521,0.21093749999999997,0.38607830950901184,0.8765344497268147,0.5326052066967377,0.4715,0.134,0.32,0.317,0.038,13,0,1,2,1,5,43,-0.0626,0.1839,0.4263,21,50.7639
MH18BZ2958,401,123,reliable,2026-01-26,2026-03-10,97.05,-0.02026,0.699,842.0,739.0,989.0,80.0,112.07,2.5369,-0.007864,2169.0,855.0,1889.0,2514.0,99.363,-20.88871,177.35152,781.0,,781.0,calendar,97.093,0.162,,-0.00225,0.001,0.03922,0.034,7e-06,0.002,0.00051,0.001,22,-0.00411,0.0,2960,98.655,0.00367,0.001,0.1448372192973032,0.41896792189679166,0.41896792189679166,0.19425348140313767,0.7829245914647753,0.3125,0.3501553760099441,0.8619527424962747,0.31167536701974896,0.4635,0.175,0.294,0.158,0.619,10,0,3,2,0,11,36,-0.0593,0.1938,0.4144,21,50.1638
MH18BZ3344,99,27,reliable,2026-03-02,2026-03-10,97.7,-0.15789,0.891,112.0,97.0,133.0,80.0,29.33,3.5644,-0.045157,392.0,110.0,340.0,465.0,99.392,-559.64615,5589.59676,29.0,,29.0,calendar,97.726,0.134,236.0,0.01047,0.002,-0.27651,0.113,-1e-06,0.0,0.05279,0.017,51,0.11262,0.001,693,100.0,0.05518,0.227,0.8842269259697003,0.23877266387726526,0.23877266387726526,0.30636347611493037,0.0,0.25,1.0,1.0,0.26816515466355817,0.4538,0.149,0.105,0.333,0.222,10,2,0,0,0,1,15,-0.047,0.2241,0.4045,7,50.9909
MH18BZ2647,507,128,reliable,2025-12-21,2026-02-27,97.01,-0.01002,0.496,1698.0,1390.0,2301.0,80.0,155.77,2.2563,-0.003781,4499.0,1994.0,3586.0,5803.0,99.889,-342.28677,1535.55453,106.0,,106.0,calendar,96.923,0.17,581.0,-0.00497,0.026,0.00579,0.004,-4e-06,0.001,0.00045,0.001,56,0.01593,0.001,4934,100.0,-0.03324,0.011,0.0898248630063394,0.4317991631799176,0.4317991631799176,0.17028027498677947,0.7000272770104397,0.2265625,0.34940957116221255,0.8856524515717022,0.34285304005541195,0.4516,0.115,0.123,0.181,0.394,35,22,5,1,1,5,70,-0.0469,0.2057,0.4536,22,49.5275
MH18BZ2871,515,101,reliable,2026-01-22,2026-03-10,97.3,-0.01839,0.476,941.0,742.0,1205.0,80.0,124.31,2.6466,-0.00677,2555.0,966.0,2006.0,3287.0,99.66,153.00674,-992.96161,148.0,148.0,,cycle,97.448,0.23,,-0.00402,0.008,0.0069,0.001,1.2e-05,0.006,-1e-05,0.0,13,0.03791,0.004,4013,99.694,0.02937,0.058,0.13479101751369937,0.3503486750348682,0.3503486750348682,0.17865326987484575,0.7027797753366231,0.35156249999999994,0.343691733996271,0.9116464438610185,0.289966719037724,0.4441,0.129,0.143,0.169,0.144,10,0,4,4,0,8,26,-0.0657,0.2167,0.4872,24,48.7548
