registration_number,fit_quality,data_span_days,efc_total,avg_efc_per_day,exp_k_day_blended,rul_years_exp_day,exp_k_blended,rul_years_exp,k_day_prior_contrib_%
MH18BZ3195,insufficient_data,9.0,1.58,0.1775,8.19937e-05,6.6,0.00012655,24.2,95.2
MH18BZ3392,insufficient_data,32.0,1.49,0.0455,0.0001060129,5.4,0.00016296,79.6,84.9
MH18BZ3113,insufficient_data,47.0,3.93,0.0846,0.0001155985,4.7,0.00016393,40.4,79.3
MH18BZ3039,insufficient_data,32.0,2.57,0.0803,0.0001089308,5.1,0.00014703,47.8,84.9
MH18BZ3162,insufficient_data,41.0,2.53,0.0608,0.0001020387,5.4,0.00014096,65.7,81.4
MH18BZ3036,insufficient_data,34.0,2.99,0.0884,0.0001139413,4.9,0.00015164,42.1,84.1
MH18BZ3372,insufficient_data,42.0,1.77,0.0429,0.0001099211,5.2,0.00016629,82.5,81.1
MH18BZ3164,insufficient_data,29.0,3.82,0.128,0.0001122683,5.0,0.00015002,29.4,86.1
MH18BZ2873,insufficient_data,33.0,2.87,0.0874,0.0001208473,4.6,0.00015874,40.6,84.5
MH18BZ3028,insufficient_data,42.0,2.15,0.052,0.0001044971,5.2,0.00015974,68.7,81.1
MH18BZ3382,insufficient_data,34.0,0.84,0.0251,0.0001059519,5.5,0.00014111,167.1,84.1
MH18BZ3110,insufficient_data,32.0,3.04,0.0948,0.0001002501,5.5,0.00014559,40.9,84.9
MH18BZ3387,insufficient_data,43.0,1.72,0.0405,0.00011085,4.9,0.00015918,86.7,80.7
MH18BZ3386,insufficient_data,44.0,2.51,0.0569,9.5373e-05,5.9,0.00012826,78.0,80.4
MH18BZ3034,insufficient_data,45.0,2.52,0.0563,0.0001096268,5.0,0.00016155,61.8,80.0
MH18BZ3342,no_degradation_signal,44.0,1.64,0.0368,4.91129e-05,11.2,8.854e-05,170.4,80.4
MH18BZ3109,insufficient_data,40.0,3.74,0.0926,0.0001060408,5.2,0.00014476,42.0,81.8
MH18BZ3378,insufficient_data,38.0,1.58,0.0425,0.0001162384,5.0,0.00016467,84.7,82.6
MH18BZ3108,insufficient_data,48.0,1.89,0.0398,0.0001215799,4.5,0.00016015,87.5,78.9
MH18BZ3374,insufficient_data,45.0,3.16,0.0699,0.0001027461,5.5,0.00014398,57.4,80.0
MH18BZ3194,insufficient_data,48.0,3.04,0.0636,8.79378e-05,6.4,0.00013609,66.3,78.9
MH18BZ3032,insufficient_data,44.0,5.73,0.1294,0.0001024882,5.4,0.00016123,26.9,80.4
MH18BZ3112,insufficient_data,40.0,2.48,0.0609,0.0001123274,4.9,0.00016229,57.1,81.8
MH18BZ3201,insufficient_data,46.0,2.34,0.0508,0.0001101217,5.4,0.00016101,75.1,79.6
MH18BZ3160,insufficient_data,45.0,3.6,0.0801,0.0001061573,5.2,0.00016278,43.2,80.0
MH18BZ3368,insufficient_data,47.0,2.85,0.0608,0.0001113931,5.1,0.00016265,59.8,79.3
MH18BZ3198,no_degradation_signal,27.0,0.73,0.0278,5.3138e-05,10.4,8.894e-05,224.6,87.0
MH18BZ2960,insufficient_data,46.0,0.52,0.0114,9.81857e-05,5.5,0.00015209,320.0,79.6
MH18BZ3376,insufficient_data,48.0,3.11,0.0649,0.0001080661,5.3,0.00016623,53.7,78.9
MH18BZ3370,insufficient_data,45.0,1.69,0.0373,8.096e-05,6.9,0.00013089,117.1,80.0
MH18BZ3161,insufficient_data,48.0,1.91,0.0395,0.0001086928,5.0,0.0001551,92.0,78.9
MH18BZ3038,insufficient_data,45.0,3.07,0.0673,0.0001164628,4.7,0.00016256,51.1,80.0
MH18BZ2968,insufficient_data,46.0,3.84,0.0835,0.0001173152,4.7,0.00018417,36.4,79.6
MH18BZ2872,insufficient_data,45.0,4.91,0.1089,0.0001221759,4.4,0.00015247,33.3,80.0
MH18BZ2961,insufficient_data,46.0,3.07,0.0669,0.000109825,4.9,0.00015919,52.2,79.6
MH18BZ3163,insufficient_data,45.0,2.54,0.0564,0.0001063708,5.2,0.00014469,69.1,80.0
MH18BZ3379,insufficient_data,45.0,4.36,0.0974,0.0001199874,4.8,0.00015826,38.0,80.0
MH18BZ2689,unreliable,82.0,3.1,0.038,6.23626e-05,8.4,0.00011918,118.3,68.7
MH18BZ3476,insufficient_data,45.0,2.39,0.0538,7.31825e-05,7.6,0.00011241,93.3,80.0
MH18BZ2690,indicative,95.0,3.71,0.0389,9.09817e-05,5.7,0.0001567,89.3,65.5
MH18BZ3501,insufficient_data,42.0,2.88,0.0688,6.55556e-05,8.5,9.12e-05,89.2,81.1
MH18BZ3347,no_degradation_signal,30.0,3.45,0.1129,5.23803e-05,10.5,8.776e-05,56.0,85.7
MH18BZ3380,insufficient_data,42.0,2.19,0.0521,7.646e-05,7.3,0.00011831,91.9,81.1
MH18BZ2648,indicative,81.0,4.49,0.0554,9.40229e-05,5.5,0.00015953,60.8,69.0
MH18BZ2874,insufficient_data,46.0,6.64,0.1437,0.0001031256,5.2,0.00015616,24.5,79.6
MH18BZ3345,insufficient_data,47.0,4.15,0.0873,8.77497e-05,6.3,0.00016295,39.3,79.3
MH18BZ2958,no_degradation_signal,42.0,3.41,0.08,4.95543e-05,10.5,8.778e-05,75.0,81.1
MH18BZ2647,unreliable,64.0,3.07,0.0478,6.66268e-05,7.8,0.00011012,100.7,73.8
MH18BZ3389,no_degradation_signal,46.0,3.08,0.0668,4.86791e-05,11.3,8.792e-05,94.5,79.6
MH18BZ3426,insufficient_data,46.0,1.92,0.042,8.80319e-05,6.4,0.0001296,104.9,79.6
MH18BZ3391,insufficient_data,42.0,2.31,0.0551,7.75938e-05,7.2,0.00012989,80.0,81.1
MH18BZ3343,no_degradation_signal,38.0,3.15,0.0832,5.04618e-05,10.9,8.789e-05,75.9,82.6
MH18BZ3346,no_degradation_signal,46.0,2.95,0.0649,4.86788e-05,11.3,8.797e-05,97.2,79.6
MH18BZ3383,no_degradation_signal,45.0,1.87,0.0409,4.88947e-05,11.2,8.844e-05,153.5,80.0
MH18BZ2649,indicative,95.0,5.69,0.0598,8.12865e-05,6.3,0.00015358,58.1,65.5
MH18BZ3341,no_degradation_signal,43.0,3.16,0.0727,4.93323e-05,11.1,8.789e-05,86.8,80.7
MH18BZ3196,insufficient_data,48.0,2.08,0.0436,0.0001092657,5.0,0.00015459,83.8,78.9
MH18BZ2869,insufficient_data,36.0,2.44,0.0686,8.7781e-05,6.1,0.00012174,64.6,83.3
MH18BZ3384,insufficient_data,45.0,1.57,0.0347,6.92322e-05,8.0,0.000105,154.1,80.0
MH18BZ2871,no_degradation_signal,44.0,2.69,0.0602,4.91128e-05,10.6,8.809e-05,99.4,80.4
MH18BZ3390,no_degradation_signal,43.0,3.22,0.0751,4.93325e-05,11.1,8.786e-05,84.1,80.7
MH18BZ3381,no_degradation_signal,30.0,0.77,0.0263,5.23802e-05,10.5,8.892e-05,237.5,85.7
MH18BZ3024,insufficient_data,29.0,2.81,0.0946,0.0001183351,4.7,0.00016343,36.3,86.1
